Response,Length,Number of Tokens,Number of Letter,Number of Digits,datetime,phone_number,isValid
"3051969",7,1,0,7,0,0.954395,"Invalid"
"c",1,1,1,0,0,0,"Invalid"
"1990",4,1,0,4,0.9616,0,"Invalid"
"1966",4,1,0,4,0.960465,0,"Invalid"
"cvvfd",5,1,5,0,0,0,"Invalid"
"are you open for business?",26,5,21,0,0,0,"Invalid"
"27",2,1,0,2,0,0,"Invalid"
"xcds",4,1,4,0,0,0,"Invalid"
"1990",4,1,0,4,0.9616,0,"Invalid"
"1",1,1,0,1,0,0,"Invalid"
"august",6,1,6,0,0.966465,0,"Invalid"
"ok",2,1,2,0,0,0,"Invalid"
"1990",4,1,0,4,0.9616,0,"Invalid"
"april",5,1,5,0,0.965705,0,"Invalid"
"30",2,1,0,2,0,0,"Invalid"
"5231919",7,1,0,7,0,0.954395,"Invalid"
"6081984",7,1,0,7,0,0.954395,"Invalid"
"bye bye i don't know",20,6,15,0,0,0,"Invalid"
"3569",4,1,0,4,0,0,"Invalid"
"xxf",3,1,3,0,0,0,"Invalid"
"my feet smells very bad",23,5,19,0,0,0,"Invalid"
"1990",4,1,0,4,0.9616,0,"Invalid"
"1993",4,1,0,4,0.961415,0,"Invalid"
"1995",4,1,0,4,0.958835,0,"Invalid"
"1970",4,1,0,4,0.961185,0,"Invalid"
"1984/feb",8,2,3,4,1.0,0,"Invalid"
"23",2,1,0,2,0,0,"Invalid"
"1980",4,1,0,4,0.96102,0,"Invalid"
"1985",4,1,0,4,0.96043,0,"Invalid"
"1987",4,1,0,4,0.961625,0,"Invalid"
"1011986",7,1,0,7,0,0.954395,"Invalid"
"26-Nov",6,2,3,2,0.96517333333333,0,"Invalid"
"1995",4,1,0,4,0.958835,0,"Invalid"
"1987",4,1,0,4,0.961625,0,"Invalid"
"1-Jan",5,2,3,1,0.965705,0,"Invalid"
"1950",4,1,0,4,0.958435,0,"Invalid"
"11101986",8,1,0,8,0,0.954395,"Invalid"
"1984",4,1,0,4,0.95915,0,"Invalid"
"14091990",8,1,0,8,0,0.954395,"Invalid"
"6th may",7,2,5,1,0.9669,0,"Invalid"
"fiftten five nineti five",24,4,21,0,0,0,"Invalid"
"16-Nov",6,2,3,2,0.96557333333333,0,"Invalid"
"1-Sep",5,2,3,1,0.96682333333333,0,"Invalid"
"march 31st",10,2,7,2,0.9647975,0,"Invalid"
"1990",4,1,0,4,0.9616,0,"Invalid"
"april 3rd",9,2,7,1,0.96581,0,"Invalid"
"1/1/2001",8,3,0,6,0.966624,0,"Valid"
"5231990",7,1,0,7,0,0.954395,"Invalid"
"1994",4,1,0,4,0.961695,0,"Invalid"
"4/3/1985",8,3,0,6,0.966704,0,"Valid"
"its 2nd of may 1992",19,5,10,5,0.96711125,0,"Valid"
"30.05.1987",10,3,0,8,0,1.0,"Valid"
"5/23/1990",9,3,0,7,0.965367,0,"Valid"
"6/7/1990",8,3,0,6,0.966596,0,"Valid"
"8/7/1980",8,3,0,6,0.966027,0,"Valid"
"30/05/1987",10,3,0,8,1.0,0,"Valid"
"16-05-1987",10,3,0,8,0,1.0,"Valid"
"6 th june",9,3,6,1,0.96477666666667,0,"Valid"
"9/1/1985",8,3,0,6,0.966255,0,"Valid"
"1/9/1976",8,3,0,6,0.966379,0,"Valid"
"june 12 1988",12,3,4,6,0.96660833333333,0,"Valid"
"16/08/1990",10,3,0,8,1.0,0,"Valid"
"27/12/1986",10,3,0,8,1.0,0,"Valid"
"1/1/1950",8,3,0,6,0.966744,0,"Valid"
"2/13/1995",9,3,0,7,0.96574,0,"Valid"
"10/1/1997",9,3,0,7,0.96411,0,"Valid"
"01.01.1981",10,3,0,8,0.925745,0,"Valid"
"14/9/1990",9,3,0,7,1.0,0,"Valid"
"july 8 1990",11,3,4,5,0.96678,0,"Valid"
"2nd feb 1982",12,3,5,5,0.96642666666667,0,"Valid"
"15.05.1994",10,3,0,8,0,1.0,"Valid"
"3/22/1989",9,3,0,7,0.96575,0,"Valid"
"25-05-1995",10,3,0,8,0,1.0,"Valid"
"9/12/1984",9,3,0,7,0.965266,0,"Valid"
"14-09-1990",10,3,0,8,0,1.0,"Valid"
"5/30/1987",9,3,0,7,0.96538,0,"Valid"
"august 15 1990",14,3,6,6,0.96724166666667,0,"Valid"
"5/16/2007",9,3,0,7,0.965305,0,"Valid"
"27-05-1995",10,3,0,8,0,1.0,"Valid"
"20.01.1993",10,3,0,8,0,1.0,"Valid"
"8th dec 1988",12,3,5,5,0.96715,0,"Valid"
"4/15/1980",9,3,0,7,0.965981,0,"Valid"
"10/23/1974",10,3,0,8,0.962632,0,"Valid"
"10/27/1996",10,3,0,8,0.962941,0,"Valid"
"5/8/1997",8,3,0,6,0.966166,0,"Valid"
"1/2/1995",8,3,0,6,0.966772,0,"Valid"
"june 30 1991",12,3,4,6,0.9663,0,"Valid"
"1/2/1992",8,3,0,6,0.966846,0,"Valid"
"jan 1 1977",10,3,3,5,0.96718333333333,0,"Valid"
"26/11/1991",10,3,0,8,1.0,0,"Valid"
"8/5/1996",8,3,0,6,0.966142,0,"Valid"
"december 17 1959",16,3,8,6,0.96671833333333,0,"Valid"
"april 1 1970",12,3,5,5,0.96707666666667,0,"Valid"
"7th of july 1984",16,4,8,5,0.9676,0,"Valid"
"1/6/1978",8,3,0,6,0.966697,0,"Valid"
"jan 2nd",7,2,5,1,0.96462,0,"Valid"
"01.04.1993",10,3,0,8,0.925745,0,"Valid"
"11/10/1986",10,3,0,8,0.964291,0,"Valid"
"9/8/1994",8,3,0,6,0.966205,0,"Valid"
"25.05.1995",10,3,0,8,0,1.0,"Valid"
"january 1 1977",14,3,7,5,0.96721666666667,0,"Valid"
"18th september 1988",19,3,11,6,0.96683166666667,0,"Valid"
"1/1/1971",8,3,0,6,0.966831,0,"Valid"
"28-Nov-99",9,3,3,4,1.0,0,"Valid"
"1-Sep-76",8,3,3,3,1.0,0,"Valid"
"13-Mar-77",9,3,3,4,1.0,0,"Valid"
"14-Sep-90",9,3,3,4,1.0,0,"Valid"
"march 5 1969",12,3,5,5,0.96688833333333,0,"Valid"
"november 11 1991",16,3,8,6,0.96734166666667,0,"Valid"
"2/21/1986",9,3,0,7,0.965237,0,"Valid"
"15-Feb-96",9,3,3,4,1.0,0,"Valid"
"1/1/1972",8,3,0,6,0.966639,0,"Valid"
"1/1/1980",8,3,0,6,0.966917,0,"Valid"
"4/10/1993",9,3,0,7,0.966293,0,"Valid"
"4/28/1995",9,3,0,7,0.965083,0,"Valid"
"Nov-83",6,2,3,2,1.0,0,"Valid"
"23-Sep-90",9,3,3,4,1.0,0,"Valid"
"august 16th 1990",16,3,8,6,0.96629666666667,0,"Valid"
"2/4/1979",8,3,0,6,0.96662,0,"Valid"
"16/05/1987",10,3,0,8,1.0,0,"Valid"
"1-Jan",5,2,3,1,0.965705,0,"Valid"
"01.04.1993",10,3,0,8,0.925745,0,"Valid"
"nov 11 1980",11,3,3,6,0.96732166666667,0,"Valid"
"7/8/1992",8,3,0,6,0.966134,0,"Valid"
"1/2/1977",8,3,0,6,0.966704,0,"Valid"
"1-Apr",5,2,3,1,0.966495,0,"Valid"
"2/8/1979",8,3,0,6,0.966486,0,"Valid"
"1/1/2001",8,3,0,6,0.966624,0,"Valid"
"1/5/1988",8,3,0,6,0.966643,0,"Valid"
"1/1/2011",8,3,0,6,0.966032,0,"Valid"
"5th february 1995",17,3,10,5,0.96709,0,"Valid"
"1/1/1991",8,3,0,6,0.966872,0,"Valid"
"6th may 2000",12,3,5,5,0.966395,0,"Valid"
"1/23/1988",9,3,0,7,0.965357,0,"Valid"
"5/2/1995",8,3,0,6,0.966584,0,"Valid"
"jan 20 1993",11,3,3,6,0.96660833333333,0,"Valid"
"1st july 1994",13,3,6,5,0.96555333333333,0,"Valid"
"22/8/1995",9,3,0,7,1.0,0,"Valid"
"6/24/1988",9,3,0,7,0.965262,0,"Valid"
"15th april 1980",15,3,7,6,0.96666,0,"Valid"
"20/01/1993",10,3,0,8,1.0,0,"Valid"
"12/27/1986",10,3,0,8,0.962841,0,"Valid"
"3/4/1988",8,3,0,6,0.966646,0,"Valid"
"july 24 1991",12,3,4,6,0.96600666666667,0,"Valid"
"12/22/1980",10,3,0,8,0.963504,0,"Valid"
"28 of may 1986",14,4,5,6,0.965425,0,"Valid"
"15/02/96",8,3,0,6,0,0,"Valid"
"1/6/1982",8,3,0,6,0.96671,0,"Valid"
"6/23/1979",9,3,0,7,0.965516,0,"Valid"
"16th of december",16,3,12,2,0.96728333333333,0,"Valid"
"23/06/1979",10,3,0,8,1.0,0,"Valid"
"julu 3rd 1993",13,3,6,5,1.0,0,"Valid"
"8/4/1990",8,3,0,6,0.966265,0,"Valid"
"6-May-00",8,3,3,3,1.0,0,"Valid"
"12/8/1990",9,3,0,7,0.964446,0,"Valid"
"1st january 1986",16,3,9,5,0.96612166666667,0,"Valid"
"feb 23 1993",11,3,3,6,0.96698333333333,0,"Valid"
"15/08/90",8,3,0,6,0,0,"Valid"
"28/04/1995",10,3,0,8,1.0,0,"Valid"
"1/1/1990",8,3,0,6,0.966873,0,"Valid"
"4/5/1992",8,3,0,6,0.966711,0,"Valid"
"23-9-1995",9,3,0,7,0,1.0,"Valid"
"5/23/1992",9,3,0,7,0.965274,0,"Valid"
"april 12th",10,2,7,2,0.966255,0,"Valid"
"1-Sep",5,2,3,1,0.96682333333333,0,"Valid"
"july 3rd 1993",13,3,6,5,0.96496833333333,0,"Valid"
"10/28/1987",10,3,0,8,0.962786,0,"Valid"
"12/1/1989",9,3,0,7,0.96462,0,"Valid"
"15/04/1980",10,3,0,8,1.0,0,"Valid"
"7/5/1978",8,3,0,6,0.966276,0,"Valid"
"23/08/1990",10,3,0,8,1.0,0,"Valid"
"11/09/214",9,3,0,7,0.95846,0,"Valid"
"1/1/1971",8,3,0,6,0.966831,0,"Valid"
"1-Jan",5,2,3,1,0.965705,0,"Valid"
"12/12/1995",10,3,0,8,0.964194,0,"Valid"
